,content,sentiment
0,第一天，去了土楼，路上车程比较长，我自己带了个小枕头，让脖子舒服点，还有建议大家穿比较合脚的运动鞋，因为土楼的路高低不平，坑坑洼洼，容易脚疼，一定要穿上舒服的鞋子，这点很重要。鼓浪屿的路虽然不会像土楼那样，但是上坡，下坡很多，走的比较辛苦，所以不需要的东西不要带，轻松上岛。龙头路的美食很多，但是卫生很重要，一定要选择干净卫生的店，海鲜也比较多，价格也不贵，喜欢吃海鲜的有口福了。厦大开放时间有规定，不过我们的导游林珊珊安排的很合理。在厦大开放前，先带我们去了南普陀参观，讲解的很详细，听的津津有味。然后让我们自由活动，去参观厦大。我们去了芙蓉隧道，里面有很多好玩的画，隧道很长，我们没有走完。还去了曾厝安，里面也有好多美食。在厦门不需要穿很多衣服，我就穿了一件打底衫一件卫衣，就够了，一条单裤。但是早晚还是有点凉的，还是要增加衣服的，等太阳一出来就热了。太阳比较大，所以防晒霜是一定要带的。有时间的可以提前做一下攻略，这样还可以利用晚上的时间去逛逛，吃吃小吃，看看夜景。当地的公交车很多，散了团自己坐公交车出去非常方便。总的来说，在厦门玩的还是很开心的。希望对大家有帮助。,正
1,导游王艺芳带的很好，我们很慢，总是让他操心，但他很负责。耐心详细介绍带领😊经历了好多风景…  海边，山间，巷弄……琴声，风声，人声……破败的院落，华繁的门窗……花，草，树木……阳光下，一切蒙上了一层温暖的亮光。 整个行程中~曲曲绕绕，兜兜转转，随性而来，或许不经意处，正是你希望与之邂逅的老屋，或听听人家说油盐酱醋，家长里短。 而渐渐，一切变得沉寂，渐渐的一切，进入了回忆。她令人们如此迷醉，仿佛它映照着某种神秘的气息。<br>   在太多日子里，人们已经忘记了生命本身的美丽和神奇，忘了我们活在这个世界上原来可以如此悠游自在想天上的飞鸟和地上的野草，忘了我们很多时候可以静静停下来欣赏和赞美这个世界：蓝色的天空，白色的流云，那些神奇的各种颜色各种姿势带着各种奇异香味的花，风中飘荡的温柔的气息，黄昏那一抹斜阳，静夜的月光…  （祁祁&王帅）<br>                                ------《迷失·鼓浪屿》,正
2,整个行程轻松自由。第一天在中山路步行街，有很多厦门小吃和海鲜店，土笋冻、 海蛎煎、五香卷，很赞！。第二天按行程去了福建土楼和云水谣，路上行程较长，土楼的路高低不平，建议大家穿合脚的运动鞋，云水谣景区是个很适合散步的地方，这里有客家土楼、百年老榕树、还有鹅卵石铺成的古道。漫步在铺满鹅卵石的溪边，看流水潺潺、白鸭慢步、榕树垂柳，感受清新自然的田园风光，确实是一种享受。第三天按行程去了鼓浪屿，乘坐轮渡，横渡鹭江海峡，非常舒服。还去了贝壳博物馆，菽庄花园。海鲜比较多，价格也不贵，喜欢吃海鲜的有口福了，第四天胡里山炮台、南普陀寺、环岛路看海骑行、曾厝垵、厦大，厦大开放时间有规定，不过我们导游安排的很合理，在厦大开放前，先带我们去了南普陀参观，讲解的很详细，听的津津有味，我们去了芙蓉隧道，里面有很多好玩的画，玩的很开心，中山公园和白鹭洲公园，都值得一看。再有时间晚上去看了一场表演《闽南神韵》了解闽南文化，真心好看！～总之这次旅行超级惬意和享受，预祝大家厦门游开心,正
3,第一天早点到这 可以骑小黄车或者坐地铁去中山路玩一圈（奢侈品和各种小吃）。第二天去土楼。第二天庄常煌导游带我们的，人特别多20多个家庭，50多个人一个没少一个没漏，厉害，介绍非常仔细，又很幽默，很有礼节，很有人情味，第一次见到一个导游会想到巴车司机的工作辛苦，去土楼前会想到蚊虫叮咬，给我们每人涂抹防蚊虫咬的东西，。游客太多，就只能一楼游览一圈，因为楼支撑不了太大的重量。第二天第三天30多人，换成等等导游带我们，会介绍各种必吃的又很好吃的美食店给我们，还有很多好用的东西推荐给我们，和历史讲解等等，非常提醒我们10元3串的鱿鱼不能吃，是福尔马林泡起来的…说实话真的被那个鱿鱼的色泽和香味“诱惑”了好几次。goodgood。厦门4天够了。就是最后两天灰蒙蒙，下小中雨，看不到日出。来厦门主要就是吃吃吃！…最好晴天来。…这里的小孩简直就是宫崎骏动画里的原型，声音，语调一摸一样。鼓浪屿岛上晚上巨多的猫，想到了《猫的报恩》。可以自己加钱体验一番住岛上。岛内晶裕酒店的二三楼是同品牌ktv，非常的吵，一直唱到凌晨1、2点，一个车住这个酒店的所有人第二天都没睡好…本来想换酒店的，和客服携商后，3楼换到了6楼，就没吵了，同程售后的服务是很好的。美食（导游会推荐品牌）：牛轧糖、奶茶、肠粉、仙草、土耳其冰淇淋（20:00后人少，小哥是自信帅气的，棒棒哒）、肉粽、沙茶面、土笋冻（里面是沙虫，像鱼冻的味道，南方人表示吃不惯，看到他们福建人框框框几口就吃掉了）、厦大的学生食堂（巨便宜，品种多又好吃，可找厦大同学刷卡）、水果品种特多：刺角瓜味道不错（像果冻，籽应该不能吃），黑香蕉（2块/个）蛮甜，释迦（20几块/个）好吃的，就是蛮贵；小菠萝（甜甜的）；小莲雾（特别不好吃…生姜味苦苦苦的。10元/串，3个）；红芭乐（皮有生姜味，红的部分还可以，籽超硬，咯吱咯吱咬…跟吃小石子似的…其实也不知道能不能吃，就是懒的吐）等等等 。厦门人是热情友善的,正
4,这个冬天，我路过了厦门的满树繁花、万家灯火和四海长风。厦门，是一座骨子里透着浪漫与精致的城市，来到这里你会不自觉的被环境所感染，有一丝柔情，有一丝闲适，亦有一丝淡然。<br>    怀着这一份情怀，我踏上了第一天的旅程，去寻找一个名叫云水谣的梦幻小镇。碧云秋水，悠闲的散步于古道和老街之间，不必刻意的寻找风景，这里的一草一木都有其韵味。我非常喜欢其中的一座土楼名曰怀远楼，胸怀远方、志在天下，何等豪气，它的构造很像我看过的一部电影《大鱼海棠》里的土楼，一下唤醒了我的回忆，两感相交更让我的内心被其质朴沧桑的美所触动。<br>    若厦门比作一篇描写浪漫美好的文章，那么鼓浪屿就是其点睛之**。鼓浪屿是我最喜欢的小岛之一，不用在意时间是几刻，前方是哪里，就沿着小巷慢慢的走，每一个转角都会遇见新的惊喜，树木听见了风声，海洋容纳着蓝色，黑夜缠绕着星辰。鼓浪屿就是一个闭月羞花的姑娘，一颦一笑皆令人惊艳，而且这位姑娘还拥有着精湛的厨艺。作为一名资深美食爱好者，我在鼓浪屿走街串巷，誓要尝遍这里天南海北的小吃，无奈人的胃容量是有限的，但这里小吃的美味也着实令我折服。说来幸运，在我们住在鼓浪屿的那一夜下了小雨，第二天清晨我们踏着被淅淅沥沥小雨浸润过的青砖赶往码头，空气有些潮湿夹着树木鲜花的清香，望着对岸被雾包裹着像海市蜃楼一样的城市，我觉得身体所感知到的一切都是那样的诗意与梦幻，耳目一新。<br>    厦门大学，中国最美大学之一，其景色确实优美，但我更喜欢其中的芙蓉隧道，那里充满了厦大学子富有创造力的涂鸦，青春就如这些**墨应肆意挥洒去创造美好。曾厝垵、中山街的美食也令人叫绝，每一家小店都有自己的特色风味，有一些商家小屋里摆满着“时光”，这里的“时光”是指明信片今天的自己书写着昨天的故事告诉未来的自己，很有格调。<br>    自由活动期间去过很多地方，最喜欢的当属铁路公园，长长的铁轨旁边绿树茵茵、繁花盛开，实为文艺青年必去之处。在铁路公园散步的多为当地老人，爷爷牵着奶奶，奶奶挽着爷爷，相濡以沫一生，平平淡淡的美好才最令人动容。<br>    当然，我们玩的潇洒尽兴也离不开导游尽职服务。云水谣卢导是一位有着丰富经验的导游，她用华丽的词藻为我们讲解了景点的特色，令我们心向神往。而鼓浪屿的小苏导游，是一位十分接地气的导游，幽默风趣，认真负责，细致贴心，他的真诚感动了大家，是我至今遇到的最关爱游客的导游。厦门你好，再见。,正
5,我们一行4人的厦门云水谣土楼、鼓浪屿5日游愉快的结束了，我们对这次旅行非常满意。感谢我的旅游顾问李萌，为我们推荐了这条线路，还给我们做了旅游攻略。感谢厦门年轻帅气的阿蔡导游，为我们耐心细致的讲解厦门的历史文化。在鼓浪屿给我们发具有特色和网红的店的地址、图片，我们才尝到了当地美食。特别是云水谣、土楼，充满了神秘色彩，鹅卵石古栈道，百年老榕树、山川秀美。还有鼓浪屿是集幽静、优雅、文艺、小资、浪漫于一身的美丽岛屿，岛上的小店各具特色，有清新的、个性的、怀旧的，各有情调，值得人们细细品味。厦门是一个干净、美丽的城市，是人们所向往的好地方。,正
6,厦门的行程就是逛吃逛吃，谢谢导游小郭小姐姐，服务很贴心，讲解很清楚，超级专业，最喜欢鼓浪屿，可以坐船，还跟我们分享当地特色美食，网红小吃店，不厌其烦地回答我们的问题，超级有耐心，同行的团友有老人小孩孕妇，她都照顾的井井有条，这趟旅行非常完美。每个团友的行程，送机的时间记得都很清楚，行程走完后，第二天下午还询问送机师傅是否联系我，太负责任了，一百个👍，厦大只看了外观，预约不上有点遗憾，期待下次再见,正
7,我们到厦门已是晚上九点多了，到宾馆就休息了，第二天早八点集合前往云水谣，只是路上坐车时间太长，到土楼都下午一点多了。总共在云水谣待2个多小时，下午3点半返回厦门。第三天来到向往已久的鼓浪屿，导游等等介绍的很详细，吃的，喝的，都推荐精点的，只不过我们刚开始没找对，走错了店面，等吃完才知道不是老字号，不过在岛上一定要带现金哦，有些小吃美食只收现金，一直逛到傍晚六点多坐船返回。第四天主要参观厦大和曾厝垵，可惜因厦大活动，没能进校参观。在厦大门口拍了照就走了。等有时间还来厦门。,正
8,来回飞机时间点不错，10点落地厦门后直接到酒店，17:00返津落地，厦门机场西行程有车接送，虽是全国大散拼但服务衔接很好，行程安排很科学，还有接近两天自由行时间，既游览了厦门景点，又体验了当地风情，性价比不错。,正
9,我们导游阿蔡非常帅气，人非常的好，给我们讲厦门的历史文化，带我们欣赏鼓浪屿的风景名胜，非常感谢蔡导，感谢司机师傅张冲,正
