,Unnamed: 0,content,sentiment
0,0,"On the first day, I went to Tulou. The drive on the road was quite long. I brought a small pillow to make my neck more comfortable. I also suggested that everyone wear sports shoes that fit better, because the road in Tulou is uneven and full of potholes, which can easily cause foot pain. It is important to wear comfortable shoes. Although the road on Gulangyu Island is not like the earth building, it has a lot of uphill and downhill slopes and the walking is quite difficult, so don’t bring anything you don’t need and get to the island easily. There are many delicious food on Longtou Road, but hygiene is very important. You must choose a clean and hygienic store. There are more seafood and the price is not expensive. Those who like to eat seafood will be in luck. Xiamen University’s opening hours are regulated, but our tour guide Lin Shanshan arranged it very reasonably. Before the opening of Xiamen University, he took us to visit Nanputuo. The explanation was very detailed and we listened with gusto. Then let us have free time to visit Xiamen University. We went to Furong Tunnel, which has many interesting paintings. The tunnel is very long and we didn’t finish it. I also went to Zengcuoan, which also has a lot of delicious food. I don’t need to wear a lot of clothes in Xiamen. I just wear a bottoming shirt and a sweatshirt, which is enough, and a pair of pants. But it’s still a bit cold in the morning and evening, so you still need to put on more clothes because it will get hotter as soon as the sun comes out. The sun is quite strong, so you must bring sunscreen. If you have time, you can make a guide in advance, so that you can also use your time in the evening to go shopping, eat snacks, and see the night view. There are many local buses, and it is very convenient to take the bus out by yourself after the group breaks up. Overall, I had a lot of fun in Xiamen. I hope everyone has to help.",Postive
1,1,"The tour guide Wang Yifang was very good. We were very slow and always made him worry, but he was very responsible. Patiently introduce and lead in detail😊I experienced a lot of scenery...the seaside, the mountains, the alleys...the sound of the piano, the sound of the wind, the voices of people...the dilapidated courtyards, the prosperous doors and windows...flowers, grass, trees...everything is covered in the sun. A layer of warm light. Throughout the trip, there are twists and turns, going around and around, coming randomly. Maybe by accident, it is the old house you hope to encounter, or you may have heard people say that oil, salt, soy sauce, and vinegar are good for parents. And gradually, everything became silent, and gradually everything entered memories. She makes people so fascinated, as if it reflects some mysterious atmosphere. <br> In too many days, people have forgotten the beauty and magic of life itself. They have forgotten that we can live in this world so leisurely and think about the birds in the sky and the weeds on the ground. We have forgotten that we can be quiet most of the time. Stop to appreciate and praise the world: the blue sky, the white flowing clouds, those magical flowers of various colors and postures with various strange fragrances, the gentle breath floating in the wind, the setting sun at dusk, the quiet night The moonlight... (Qi Qi & Wang Shuai)<br> ------""Lost·Gulangyu""",Postive
2,2,"The whole trip was relaxing and free. On the first day, we were at Zhongshan Road Pedestrian Street. There were many Xiamen snacks and seafood restaurants, including bamboo shoot jelly, fried oysters, and five-spice rolls. They were great! . The next day we went to Fujian Tulou and Yunshuiyao according to the itinerary. The journey was long and the road to the Tulou was uneven. It is recommended that you wear suitable sports shoes. Yunshuiyao Scenic Area is a very suitable place for walking. There are Hakka Tulou, century-old banyan trees, and... There are ancient paths paved with cobblestones. It is indeed a pleasure to stroll along the cobblestone-covered stream, watch the gurgling water, the slow-walking white ducks, the weeping banyan trees and the weeping willow trees, and feel the fresh and natural pastoral scenery. On the third day, we went to Gulangyu Island according to the itinerary and took a ferry across the Lujiang Strait. It was very comfortable. We also went to the Shell Museum and Shuzhuang Garden. There are more seafood and the price is not expensive. Those who like to eat seafood will be in luck. On the fourth day, there are Huli Mountain Fort, Nanputuo Temple, Huandao Road to watch the sea ride, Zengcuo'an, and Xiamen University. The opening hours of Xiamen University are regulated, but our tour guide The arrangement was very reasonable. Before the opening of Xiamen University, he took us to visit Nanputuo. The explanation was very detailed and we listened with gusto. We went to Furong Tunnel, which has many interesting paintings. We had a great time, Zhongshan Park and Egret. Island Park is worth a visit. When I had time, I went to see a performance ""The Charm of Southern Fujian"" in the evening to learn about the culture of southern Fujian. It was really good to watch! ~In short, this trip was super comfortable and enjoyable. I wish everyone a happy trip to Xiamen.",Postive
3,3,"Get here early on the first day and you can ride a yellow car or take the subway to Zhongshan Road for a tour (luxury goods and various snacks). Went to Tulou the next day. The tour guide Zhuang Changhuang took us the next day. There were more than 20 families and more than 50 people who took us there. It was amazing. The introduction was very careful, humorous, polite, and humane. It was the first time I saw it. A tour guide will think of the hard work of the bus driver. Before going to the tulou, he will think of mosquito bites and apply something to prevent mosquito bites for each of us. There are too many tourists, so you can only tour around on the first floor because the building cannot support too much weight. On the second and third days, there were more than 30 people. Instead, the tour guide took us and introduced us to various must-eat and delicious gourmet restaurants. There were also many useful things recommended to us, and historical explanations, etc. Wait, we are reminded that the three skewers of squid for 10 yuan cannot be eaten. They are soaked in formalin... To be honest, I was ""tempted"" by the color and aroma of the squid several times. goodgood. Four days in Xiamen is enough. It was just that the last two days were gray, with light and moderate rain, and no sunrise could be seen. The main reason to come to Xiamen is to eat! …It’s best to come on a sunny day. …The kids here are simply the prototypes in Hayao Miyazaki’s animations, their voices and intonations are exactly the same. The huge number of cats on Gulangyu Island at night reminds me of ""The Cat's Repayment of Kindness"". You can add money to experience living on the island. The second and third floors of the Jingyu Hotel on the island are KTVs of the same brand. It was very noisy and sang until 1 or 2 o'clock in the morning. Everyone who stayed in this hotel in a car did not sleep well the next day... I originally wanted to change hotels, so I talked to the customer service After moving the business, the 3rd floor was moved to the 6th floor, and there was no noise. The after-sales service of Tongcheng was very good. Food (the tour guide will recommend brands): nougat, milk tea, rice rolls, grass jelly, Turkish ice cream (there are few people after 20:00, the guy is confident and handsome, great), rice dumplings, sand tea noodles, local Bamboo shoot jelly (it has sandworms inside and tastes like fish jelly. Southerners say they are not used to it. They saw the Fujianese eat it in just a few bites), the student canteen of Xiamen University (very cheap, with many varieties and delicious, You can ask classmates from Xiamen University to swipe your card), and there are many varieties of fruits: thorn melon tastes good (like jelly, the seeds should not be eaten), black banana (2 pieces/piece) is quite sweet, and custard apple (more than 20 pieces/piece) is delicious , but quite expensive; small pineapple (sweet); small lotus mist (particularly not delicious...the ginger tastes bitter. 10 yuan/skewer, 3 pieces); red guava (the skin has a ginger flavor and the red part It's okay, the seeds are super hard and crunchy... It's like eating small pebbles... Actually, I don't know if I can eat them, I'm just too lazy to spit them out) and so on. Xiamen people are warm and friendly",Postive
4,4,"This winter, I passed by Xiamen’s trees and flowers, thousands of lights, and the ever-changing wind. Xiamen is a city with romance and refinement at its core. When you come here, you will be unconsciously infected by the environment, with a touch of tenderness, a touch of leisure, and a touch of indifference. <br> With this feeling in mind, I embarked on the first day of my journey to find a dreamy town called Yunshuiyao. Under the blue clouds and autumn water, you can take a leisurely walk among the ancient roads and old streets. You don’t have to look for the scenery deliberately. Every plant and tree here has its own charm. I really like one of the earth buildings called Huaiyuan Building. It has a distant mind and aspiration for the world. It is so heroic. Its structure is very similar to the earth building in a movie I watched, ""Big Fish and Begonia"", which awakened my memories. The intersection of the two feelings made me deeply touched by its simple and vicissitudes of beauty. <br> If Xiamen is compared to an article describing romance and beauty, then Gulangyu Island is the highlight. Gulangyu Island is one of my favorite islands. You don’t have to worry about the time or where you are ahead. Just walk slowly along the alley. You will encounter new surprises at every corner. The trees hear the wind and the ocean holds the blue sky. Color, the night is wrapped around the stars. Gulangyu is a girl who is shy of her beauty. Her every move and smile are amazing, and this girl also has superb cooking skills. As a senior food lover, I walked around Gulangyu Island and vowed to taste the snacks from all over the world. Unfortunately, my stomach capacity is limited, but the deliciousness of the snacks here really impressed me. Fortunately, it rained lightly the night we stayed at Gulangyu Island. The next morning, we walked on the green bricks soaked by the drizzle and rushed to the pier. The air was a little moist and filled with the fragrance of trees and flowers. The fog enveloped the city like a mirage. I felt that everything my body perceived was so poetic and dreamy, refreshing. <br> Xiamen University is one of the most beautiful universities in China. The scenery is indeed beautiful, but I prefer the Furong Tunnel, which is full of creative graffiti by Xiamen University students. Youth is like these ink should be swayed freely to create beauty. . The food in Zengcuo'an and Zhongshan Street is also amazing. Each small shop has its own special flavor. Some merchants' huts are filled with ""time"". The ""time"" here refers to postcards indicating that today's self writes yesterday. The story you tell your future self is very stylish. <br> During my free time, I visited many places, and my favorite was definitely the Railway Park. The green trees and blooming flowers beside the long railway tracks make it a must-visit place for literary and artistic young people. Most of the people walking in the railway park are local elderly people. Grandpa is holding grandma, and grandma is holding grandpa. They have been together for a lifetime. The ordinary beauty is the most touching. <br> Of course, we cannot have fun without the tour guide’s dedicated service. Director Yunshuiyao Lu is a tour guide with rich experience. She explained the characteristics of the scenic spots to us with gorgeous words, which made us fascinated. The tour guide Xiao Su from Gulangyu Island is a very down-to-earth tour guide, humorous, responsible, meticulous and considerate. His sincerity moved everyone, and he is the most caring tour guide I have encountered so far. Hello Xiamen, goodbye.",Postive
5,5,"The 5-day trip to Yunshuiyao Tulou and Gulangyu Island in Xiamen for a group of 4 of us ended happily. We were very satisfied with this trip. Thanks to my travel consultant Li Meng for recommending this route and giving us a travel guide. Thanks to Xiamen’s young and handsome tour guide A Cai for patiently and meticulously explaining Xiamen’s history and culture. In Gulangyu, they sent us the addresses and pictures of unique and internet-famous shops, so we could taste the local delicacies. In particular, the Yunshuiyao and Tulou are full of mystery, the cobblestone ancient plank road, the century-old banyan tree, and the beautiful mountains and rivers. Also, Gulangyu Island is a beautiful island that combines tranquility, elegance, literature, petty bourgeoisie, and romance. The small shops on the island have their own characteristics, including fresh, personalized, and nostalgic, and each has its own sentiment, which is worth savoring. Xiamen is a clean, beautiful city and a good place that people yearn for.",Postive
6,6,"Xiamen’s itinerary is all about shopping and eating. Thank you to the tour guide, Ms. Xiao Guo. The service is very considerate, the explanations are very clear, and she is super professional. I like Gulangyu Island the most. You can take a boat. She also shared with us local specialties and Internet celebrity snack bars. She took the trouble to She was super patient in answering our questions. Her group members included the elderly, children, and pregnant women. She took care of them all in an orderly manner. This trip was perfect. I remember each group member’s itinerary and airport drop-off time very clearly. After completing the itinerary, I asked the airport drop-off man if he would contact me the next afternoon. I was so responsible. One hundred 👍. Xiamen University only looked at the appearance. It's a pity that I couldn't make an appointment. I look forward to seeing you next time.",Postive
7,7,"It was past nine o'clock in the evening when we arrived in Xiamen, and we rested at the hotel. We gathered at eight o'clock the next morning and headed to Yunshuiyao. However, the ride on the road was too long, and it was already past one o'clock in the afternoon when we arrived at Tulou. In total, we stayed in Yunshuiyao for more than 2 hours and returned to Xiamen at 3:30 pm. On the third day, we arrived at Gulangyu Island, which we have longed for. The tour guide and others introduced it in detail, and recommended fine food and drinks. However, we didn’t find the right one at the beginning and went to the wrong store. We didn’t find out until after we finished eating. It’s not a time-honored restaurant, but you must bring cash with you on the island. Some snacks and delicacies only accept cash. You can go shopping until you return by boat at around six o’clock in the evening. On the fourth day, we mainly visited Xiamen University and Zengcuo'an. Unfortunately, we were unable to visit the campus due to activities at Xiamen University. I took a photo at the entrance of Xiamen University and left. I will come to Xiamen when I have time.",Postive
8,8,"The flight time for the round trip is good. After landing in Xiamen at 10 o'clock, we will go directly to the hotel and return to Tianjin at 17:00. There will be a car to pick up and drop off the westward journey of Xiamen Airport. Although it is a large-scale travel across the country, the service connection is very good, the itinerary is very scientific, and it is close to In two days of free travel, I not only visited Xiamen's scenic spots, but also experienced the local customs. The price-performance ratio is good.",Postive
9,9,Our tour guide A Cai is very handsome and a very nice person. He told us about the history and culture of Xiamen and showed us the scenic spots on Gulangyu Island. I am very grateful to Cai and the driver Zhang Chong.,Postive
